,open,high,low,close
2013-03-11T21:00:00.000000000Z,98.984,99.574,98.473,99.192
2013-03-12T21:00:00.000000000Z,99.192,99.220,98.551,98.992
2013-03-13T21:00:00.000000000Z,98.992,99.980,98.820,99.800
2013-03-14T21:00:00.000000000Z,99.800,99.845,98.948,99.176
2013-03-15T21:00:00.000000000Z,99.176,99.176,99.176,99.176
2013-03-17T21:00:00.000000000Z,99.176,99.352,97.368,99.034
2013-03-18T21:00:00.000000000Z,99.034,99.462,98.175,98.676
2013-03-19T21:00:00.000000000Z,98.676,99.784,98.288,99.656
2013-03-20T21:00:00.000000000Z,99.656,99.698,98.710,99.077
2013-03-21T21:00:00.000000000Z,99.077,99.258,98.352,98.658
2013-03-24T21:00:00.000000000Z,98.658,99.402,97.727,98.556
2013-03-25T21:00:00.000000000Z,98.556,99.190,98.252,99.026
2013-03-26T21:00:00.000000000Z,99.026,99.290,97.987,98.644
2013-03-27T21:00:00.000000000Z,98.644,98.672,97.816,98.052
2013-03-28T21:00:00.000000000Z,98.052,98.215,97.840,98.160
2013-03-31T21:00:00.000000000Z,98.160,98.257,97.058,97.180
2013-04-01T21:00:00.000000000Z,97.180,97.864,96.917,97.638
2013-04-02T21:00:00.000000000Z,97.638,98.108,96.998,97.332
2013-04-03T21:00:00.000000000Z,97.332,100.584,96.980,100.543
2013-04-04T21:00:00.000000000Z,100.543,101.737,99.804,101.295
2013-04-07T21:00:00.000000000Z,101.295,103.489,101.295,103.456
2013-04-08T21:00:00.000000000Z,103.456,104.356,102.841,103.867
2013-04-09T21:00:00.000000000Z,103.867,105.268,103.715,105.192
2013-04-10T21:00:00.000000000Z,105.192,105.432,104.400,105.105
2013-04-11T21:00:00.000000000Z,105.105,105.216,103.078,103.406
2013-04-12T21:00:00.000000000Z,103.406,103.406,103.406,103.406
2013-04-14T21:00:00.000000000Z,103.406,103.838,99.206,99.797
2013-04-15T21:00:00.000000000Z,99.797,101.874,98.748,101.336
2013-04-16T21:00:00.000000000Z,101.336,102.077,99.917,101.030
2013-04-17T21:00:00.000000000Z,101.030,101.806,100.272,101.130
2013-04-18T21:00:00.000000000Z,101.130,102.878,100.890,102.275
2013-04-21T21:00:00.000000000Z,102.275,102.940,101.338,101.956
2013-04-22T21:00:00.000000000Z,101.956,102.140,100.764,102.048
2013-04-23T21:00:00.000000000Z,102.048,102.528,101.535,102.220
2013-04-24T21:00:00.000000000Z,102.220,102.660,102.030,102.142
2013-04-25T21:00:00.000000000Z,102.142,102.462,100.312,100.734
2013-04-28T21:00:00.000000000Z,100.734,101.618,100.320,101.182
2013-04-29T21:00:00.000000000Z,101.182,101.552,100.506,101.071
2013-04-30T21:00:00.000000000Z,101.071,101.127,99.764,100.072
2013-05-01T21:00:00.000000000Z,100.072,100.911,99.289,100.349
2013-05-02T21:00:00.000000000Z,100.349,102.332,100.314,102.143
2013-05-05T21:00:00.000000000Z,102.143,102.274,101.430,101.846
2013-05-06T21:00:00.000000000Z,101.846,101.889,100.444,100.828
2013-05-07T21:00:00.000000000Z,100.828,101.020,100.410,100.690
2013-05-08T21:00:00.000000000Z,100.690,102.144,100.482,101.524
2013-05-09T21:00:00.000000000Z,101.524,102.070,101.325,101.864
2013-05-12T21:00:00.000000000Z,101.864,102.040,101.187,101.340
2013-05-13T21:00:00.000000000Z,101.340,101.454,100.682,101.284
2013-05-14T21:00:00.000000000Z,101.284,101.588,100.899,101.203
2013-05-15T21:00:00.000000000Z,101.203,101.325,100.258,100.308
2013-05-16T21:00:00.000000000Z,100.308,100.566,99.594,100.458
2013-05-19T21:00:00.000000000Z,100.458,100.568,99.435,100.316
2013-05-20T21:00:00.000000000Z,100.316,100.944,100.139,100.458
2013-05-21T21:00:00.000000000Z,100.458,100.968,99.504,100.058
2013-05-22T21:00:00.000000000Z,100.058,100.077,97.302,99.466
2013-05-23T21:00:00.000000000Z,99.466,99.488,97.134,97.755
2013-05-26T21:00:00.000000000Z,97.755,97.766,96.967,97.264
2013-05-27T21:00:00.000000000Z,97.264,99.075,97.244,98.434
2013-05-28T21:00:00.000000000Z,98.434,98.457,97.051,97.453
2013-05-29T21:00:00.000000000Z,97.453,97.968,96.967,97.312
2013-05-30T21:00:00.000000000Z,97.312,97.925,96.066,96.162
2013-06-02T21:00:00.000000000Z,96.162,97.259,96.162,97.248
2013-06-03T21:00:00.000000000Z,97.248,97.371,96.158,96.526
2013-06-04T21:00:00.000000000Z,96.526,96.810,94.230,94.518
2013-06-05T21:00:00.000000000Z,94.518,94.666,92.570,93.056
2013-06-06T21:00:00.000000000Z,93.056,93.270,90.552,92.647
2013-06-09T21:00:00.000000000Z,92.647,93.800,91.930,93.476
2013-06-10T21:00:00.000000000Z,93.476,93.719,90.014,90.525
2013-06-11T21:00:00.000000000Z,90.525,92.506,90.462,91.070
2013-06-12T21:00:00.000000000Z,91.070,92.186,88.938,91.932
2013-06-13T21:00:00.000000000Z,91.932,92.577,90.018,90.050
2013-06-16T21:00:00.000000000Z,90.050,91.561,90.034,90.206
2013-06-17T21:00:00.000000000Z,90.206,90.738,89.835,90.427
2013-06-18T21:00:00.000000000Z,90.427,91.197,89.303,89.640
2013-06-19T21:00:00.000000000Z,89.640,90.442,89.103,89.478
2013-06-20T21:00:00.000000000Z,89.478,90.542,89.159,90.266
2013-06-23T21:00:00.000000000Z,90.266,91.068,89.604,90.387
2013-06-24T21:00:00.000000000Z,90.387,90.766,89.576,90.568
2013-06-25T21:00:00.000000000Z,90.568,91.152,90.216,90.663
2013-06-26T21:00:00.000000000Z,90.663,91.672,90.609,91.227
2013-06-27T21:00:00.000000000Z,91.227,91.694,90.469,90.602
2013-06-30T21:00:00.000000000Z,90.602,92.240,90.450,92.071
2013-07-01T21:00:00.000000000Z,92.071,92.168,91.310,92.040
2013-07-02T21:00:00.000000000Z,92.040,92.420,90.160,90.802
2013-07-03T21:00:00.000000000Z,90.802,91.852,90.535,91.492
2013-07-04T21:00:00.000000000Z,91.492,92.210,91.246,91.722
2013-07-07T21:00:00.000000000Z,91.722,92.354,91.390,92.218
2013-07-08T21:00:00.000000000Z,92.218,93.075,91.777,92.816
2013-07-09T21:00:00.000000000Z,92.816,92.922,91.104,91.444
2013-07-10T21:00:00.000000000Z,91.444,92.044,90.102,90.918
2013-07-11T21:00:00.000000000Z,90.918,91.034,89.698,89.769
2013-07-14T21:00:00.000000000Z,89.769,90.964,89.769,90.853
